customer_id,year,month,week,weeks_since_last_delivery,customer_since_weeks,agreement_status,number_of_total_orders,churned
10110,2019,1,1,2,10,active,10,0
10110,2019,1,2,0,11,active,11,0
10110,2019,1,3,1,12,active,11,0
10110,2019,1,4,2,13,active,11,0
10110,2019,1,5,3,14,active,11,0
10110,2019,1,6,4,15,active,11,1
10119,2019,1,1,0,15,active,8,0
10119,2019,1,2,0,16,active,9,0
10119,2019,1,3,1,17,freeze,9,0
10119,2019,1,4,2,18,freeze,9,0
10119,2019,1,4,3,19,freeze,9,0
10119,2019,1,4,4,20,freeze,9,1
10339,2019,1,1,0,14,active,33,0
10339,2019,1,2,1,15,freeze,33,0
10339,2019,1,3,2,16,freeze,33,0
10339,2019,1,4,3,17,freeze,33,0
10339,2019,1,5,4,18,freeze,33,1
10339,2019,1,6,5,19,freeze,33,1
10339,2019,1,7,6,20,freeze,33,1
10222,2019,1,1,2,55,active,22,0
10222,2019,1,2,2,56,active,23,0
10222,2019,1,3,3,57,active,24,0
10222,2019,1,4,0,58,active,25,0
10223,2019,1,1,1,55,active,22,0
10223,2019,1,2,0,56,active,23,0
10223,2019,1,3,0,57,active,24,0
10223,2019,1,4,0,58,active,25,0
